model,seed,N,mean_NND,std_NND,CV_NND,yellow_count,red_count,black_count,yellow_fraction,red_fraction,black_fraction,use_repulsion,use_gap_birth,use_growth_displacement,calibrated_birth_rate,knn_distance,knn_distance_std,short_range_pair_density,first_pair_density_peak_distance
self,7,214,4.35526545500466,0.7121812933601803,0.16352190256087498,44,7,163,0.205607476635514,0.03271028037383177,0.7616822429906542,True,True,True,1.0,,,,
random_development_matched,7,210,2.705407777292471,1.3048492319269163,0.48231148105603006,65,3,142,0.30952380952380953,0.014285714285714285,0.6761904761904762,False,False,True,0.0017600000000000003,,,,
random_mask,407,214,3.056024278424643,1.4959542144422189,0.4895099247093947,44,7,163,0.205607476635514,0.03271028037383177,0.7616822429906542,False,False,False,,,,,
