step,skin_area,pigment_count,yellow_count,red_count,black_count,nnd_mean,nnd_std,nnd_cv
0,160,4,4,0,0,7.364853671707937,0.5088520357924523,0.069091941058807
1,169,4,4,0,0,7.703291683336644,0.5322353749439672,0.06909194105880759
2,183,5,5,0,0,6.230432449486405,1.351066730829685,0.21684959138604273
3,199,5,5,0,0,6.491570951459183,1.4076945082776533,0.21684959138604396
4,211,5,5,0,0,6.532629279813088,1.2855295956511748,0.19678594032933697
5,220,5,5,0,0,6.578314698991731,1.1681860465232887,0.17758135631640745
6,232,5,5,0,0,6.653889803372922,1.4166850181086899,0.21291080254896097
7,250,6,6,0,0,6.078669542915257,1.8188922791792486,0.2992253923885177
8,264,6,6,0,0,6.221768621611957,1.9219045223026194,0.3089000313554535
9,277,6,6,0,0,6.427701658455505,1.9855172438407278,0.3089000313554555
10,294,6,6,0,0,6.633184706718455,2.0489909638921775,0.30890003135545696
11,312,6,6,0,0,6.73535314662935,1.9984334044931447,0.29670803608760243
12,330,6,6,0,0,6.936853360535484,2.058220137232474,0.2967080360876037
13,359,6,6,0,0,7.1379048679764,2.1178737351577293,0.29670803608760493
14,383,8,8,0,0,5.304335239212159,1.7712513092258417,0.33392521953204973
15,401,8,8,0,0,5.449004279750466,1.8195599503470932,0.3339252195320509
16,422,8,8,0,0,5.593344898458683,1.8677589231366356,0.3339252195320525
17,444,9,9,0,0,5.118178611178783,1.1227072033978143,0.21935678464707212
18,467,10,10,0,0,5.034806025702268,0.7168057139977718,0.14237007549812158
19,490,10,10,0,0,5.157526593529066,0.7342774505044484,0.14237007549812217
20,521,11,11,0,0,5.464820110447286,0.9248915541476114,0.1692446476653998
21,545,11,10,1,0,5.5912439508544045,0.946288112473823,0.16924464766540018
22,577,11,8,3,0,5.717369167330459,0.967634130298039,0.16924464766540084
23,604,12,9,3,0,5.555532179523991,1.0984718141071697,0.19772575850709792
24,631,14,10,3,1,5.304721103399487,1.182339826590627,0.22288444642880686
25,655,14,10,1,3,5.41601207127146,1.2071448523572994,0.22288444642880714
26,688,14,10,1,3,5.527032866938951,1.2318896609417396,0.22288444642880817
27,718,14,10,0,4,5.637782263828215,1.2565739789597314,0.22288444642880886
28,744,16,12,0,4,5.383878199306691,1.0183604178831083,0.18914997334338998
29,774,16,11,1,4,5.487095327521258,1.0378839349334779,0.18914997334339054
30,809,16,11,1,4,5.590054733394426,1.0573587038098435,0.18914997334339134
31,837,16,11,1,4,5.692755213245148,1.0767844968359641,0.1891499733433919
32,871,17,12,0,5,5.803935719531995,1.0640069708335111,0.18332507840371548
33,908,19,14,0,5,5.432574031622238,1.2787000080238173,0.23537645333141374
34,945,20,14,1,5,5.246879984751248,0.901994490018174,0.17191063882524943
35,977,20,14,1,5,5.335783524340572,0.9172779543028017,0.17191063882524965
36,1016,20,14,1,5,5.424455154415023,0.9325215508745793,0.17191063882525012
37,1049,20,14,0,6,5.512893743051006,0.947725085143798,0.17191063882525073
38,1083,20,14,0,6,5.601098144194198,0.9628883600915249,0.1719106388252511
39,1120,23,17,0,6,5.224432138397108,1.0343492669443821,0.19798309931948502
40,1167,26,20,0,6,4.932289644183372,0.9928538875980288,0.201296752466412
41,1202,26,18,2,6,5.006993597704,1.007891550838137,0.2012967524664128
42,1237,26,18,2,6,5.081493559911208,1.0228881512893215,0.20129675246641338
43,1270,26,18,2,6,5.155788488170867,1.0378434790727196,0.2012967524664141
44,1303,27,18,1,8,5.1927223412181505,0.993256932938435,0.191278652635457
45,1341,29,19,2,8,5.01416247445451,1.0023616458406135,0.19990609617201532
46,1379,30,20,2,8,4.960765625794681,1.03237750410249,0.20810850219050653
47,1416,30,19,2,9,5.028537398283098,1.046481386165854,0.20810850219050728
48,1447,32,21,1,10,4.820988980549696,1.0642514712197508,0.22075376556828025
49,1482,33,22,1,10,4.777302423041479,0.9997314497804354,0.20926693796030293
50,1526,35,23,1,11,4.6774296510463085,1.002746904090704,0.21437990069314716
51,1571,35,21,3,11,4.7373330448569435,1.0155889877070141,0.21437990069314794
52,1612,35,21,3,11,4.797059020607715,1.0283930364572675,0.2143799006931483
53,1645,37,23,2,12,4.773124203266576,1.051146248426446,0.22022185127863514
54,1687,38,24,0,14,4.847220997875813,1.052599858755214,0.21715532657088985
55,1727,38,22,2,14,4.905580970643584,1.0652730377002702,0.2171553265708904
56,1765,38,22,2,14,4.963762040935042,1.0779073670196575,0.21715532657089076
57,1806,38,22,2,14,5.02176318123055,1.0905026235820143,0.21715532657089112
58,1854,42,26,0,16,4.938363150833853,0.9371441861104173,0.1897681797564824
59,1888,45,28,1,16,4.801948517908049,0.9217151650134553,0.1919460738856078
60,1938,45,26,3,16,4.8556538346104885,0.9320236897012733,0.19194607388560814
61,1989,49,29,4,16,4.70259863968926,0.731448260606617,0.1555412903906242
