model,seed,N,mean_NND,std_NND,CV_NND,yellow_count,red_count,black_count,yellow_fraction,red_fraction,black_fraction,use_repulsion,use_gap_birth,use_growth_displacement,calibrated_birth_rate
self,7,185,4.317550118994783,0.730326819297238,0.16915306115012843,55,2,128,0.2972972972972973,0.010810810810810811,0.6918918918918919,True,True,True,1.0
no_repulsion,7,183,2.8340648150251506,1.2788567730805382,0.4512447161758853,51,3,129,0.2786885245901639,0.01639344262295082,0.7049180327868853,False,True,True,0.003125
no_gap_birth,7,158,4.359510789710192,0.8518224296859123,0.19539404093144672,49,5,104,0.310126582278481,0.03164556962025317,0.6582278481012658,True,False,True,0.10250000000000001
no_growth_displacement,7,159,3.825516895496613,0.8471255751844564,0.2214408139672494,37,10,112,0.23270440251572327,0.06289308176100629,0.7044025157232704,True,True,False,1.0
random_development_matched,7,188,2.6234279304302244,1.6403305649423605,0.6252622936253988,51,6,131,0.2712765957446808,0.031914893617021274,0.6968085106382979,False,False,True,0.002
random_mask,407,185,3.1562324628243212,1.5583925618288794,0.4937508818453361,55,2,128,0.2972972972972973,0.010810810810810811,0.6918918918918919,False,False,False,
