step,skin_area,pigment_count,yellow_count,red_count,black_count,nnd_mean,nnd_std,nnd_cv
0,160,4,4,0,0,7.364853671707937,0.5088520357924523,0.069091941058807
1,169,4,4,0,0,7.703291683336644,0.5322353749439672,0.06909194105880759
2,183,5,5,0,0,6.230432449486405,1.351066730829685,0.21684959138604273
3,199,5,5,0,0,6.491570951459183,1.4076945082776533,0.21684959138604396
4,211,5,5,0,0,6.532629279813088,1.2855295956511748,0.19678594032933697
5,220,5,5,0,0,6.578314698991731,1.1681860465232887,0.17758135631640745
6,232,5,5,0,0,6.653889803372922,1.4166850181086899,0.21291080254896097
7,250,6,6,0,0,6.078669542915257,1.8188922791792486,0.2992253923885177
8,264,6,6,0,0,6.221768621611957,1.9219045223026194,0.3089000313554535
9,277,6,6,0,0,6.427701658455505,1.9855172438407278,0.3089000313554555
10,294,6,6,0,0,6.633184706718455,2.0489909638921775,0.30890003135545696
11,312,6,6,0,0,6.73535314662935,1.9984334044931447,0.29670803608760243
12,330,6,6,0,0,6.936853360535484,2.058220137232474,0.2967080360876037
13,359,6,6,0,0,7.1379048679764,2.1178737351577293,0.29670803608760493
14,383,8,8,0,0,5.344775976585149,2.0354314154938633,0.3808263291876917
15,401,8,8,0,0,5.490547987130171,2.090945235168043,0.38082632918769344
16,422,8,8,0,0,5.63598907192701,2.1463330296043095,0.38082632918769527
17,444,9,9,0,0,5.159050908153597,1.5342036424165193,0.29738098532648655
18,467,9,9,0,0,5.2882481029092165,1.5726244314943714,0.29738098532648805
19,490,9,9,0,0,5.417146178959223,1.6109562683568177,0.29738098532648927
20,521,10,10,0,0,5.1538284057837656,0.9866376024777245,0.19143780599491858
21,545,11,10,1,0,5.155548576647946,0.8147214649634096,0.1580280842767212
22,577,11,8,3,0,5.271845537753206,0.8330996509340816,0.15802808427672183
23,604,12,9,3,0,5.195993138396768,0.8871229921622329,0.17073213311359092
24,631,13,9,3,1,4.927608630899296,1.087841771943115,0.22076464537411153
25,655,13,9,1,3,5.030987927027724,1.1106642655919383,0.22076464537411264
26,688,13,9,1,3,5.134116257486012,1.1334313548935895,0.22076464537411322
27,718,13,9,0,4,5.236992482897506,1.1561427883139879,0.2207646453741137
28,744,15,11,0,4,4.852069039126098,1.1952454205452403,0.24633726579460802
29,774,15,10,1,4,4.945090577425739,1.2181600919499864,0.24633726579460888
30,809,15,10,1,4,5.0378798507024545,1.2410175478240482,0.2463372657946102
31,837,18,13,1,4,5.0062275936426825,1.223027861628446,0.24430129049292576
32,871,20,15,0,5,4.710552068424451,1.0901204996732632,0.2314209637932411
33,908,20,15,0,5,4.793606954587275,1.1093411414768068,0.23142096379324215
34,945,21,15,1,5,4.860850905463721,1.0264066982750941,0.21115782364794927
35,977,21,15,1,5,4.943213538527107,1.0437982126226768,0.21115782364794997
36,1016,22,16,1,5,4.774252113638337,1.1121781096030736,0.232953368010404
37,1049,22,16,0,6,4.852089999048612,1.130310707168208,0.2329533680104046
38,1083,22,16,0,6,4.929721767881163,1.1483952891823603,0.2329533680104055
39,1120,23,17,0,6,4.972708254526447,1.128446082226642,0.2269278679679706
40,1167,23,17,0,6,5.049393633898214,1.1458481318717957,0.2269278679679713
41,1202,23,15,2,6,5.125871232446977,1.16320303025778,0.2269278679679719
42,1237,24,16,2,6,5.14059574714758,1.1742949263682148,0.2284355713089442
43,1270,28,20,2,6,4.946813432604308,1.178330453810898,0.23819989774514583
44,1303,28,19,1,8,5.0178992927162325,1.1952630984206891,0.23819989774514677
45,1341,29,20,1,8,4.963572291120566,1.1908892474010035,0.23992583920479393
46,1379,30,21,1,8,4.9131737011141645,1.1638271628775012,0.2368788961426994
47,1416,30,20,1,9,4.980295293905528,1.1797268516852633,0.23687889614270022
48,1447,34,23,2,9,4.714345206046132,1.020612881425646,0.21649090951517444
49,1482,35,24,2,9,4.790388316275253,1.022357366243664,0.2134184744000838
50,1526,35,23,2,10,4.852719692890678,1.035660033548189,0.2134184744000846
51,1571,37,24,2,11,4.83360295169538,1.0636439732679648,0.22005199514674098
52,1612,37,24,2,11,4.894542651300247,1.0770538757496624,0.22005199514674173
53,1645,37,24,1,12,4.955300323229383,1.090423722678144,0.2200519951467425
54,1687,38,25,0,13,4.834677135780391,0.8531438564340997,0.1764634602215713
55,1727,39,24,2,13,4.860426841363913,0.8585784140078823,0.1766467106758827
56,1765,40,25,2,13,4.883356469441496,0.8498790538990888,0.17403584178570408
57,1806,40,25,2,13,4.940418077423754,0.8598098188779282,0.17403584178570436
58,1854,43,25,3,15,4.756284376070036,0.716035652950886,0.1505451727304776
59,1888,45,25,5,15,4.701929762422525,0.7545805517550969,0.1604831611449172
60,1938,46,26,5,15,4.709769537688666,0.739201411947807,0.1569506545983597
61,1989,48,27,3,18,4.756373947053679,0.7410422351180374,0.15579982637339057
