seed,absolute_min_distance,target_gap_to_black,final_step,final_cv_nnd,pigment_count,yellow_fraction,red_fraction,black_fraction,order_score
7,1.5,3.0,119,0.2355040434774196,195,0.3487179487179487,0.03076923076923077,0.6205128205128205,1.5049865935007154
17,1.5,3.0,118,0.24351282402891403,189,0.30687830687830686,0.042328042328042326,0.6507936507936508,1.3267788431113325
27,1.5,3.0,119,0.22783215716429758,193,0.34196891191709844,0.025906735751295335,0.6321243523316062,1.6599783307962899
7,1.5,4.0,118,0.23538504430784363,200,0.345,0.02,0.635,1.826790996174713
17,1.5,4.0,118,0.23269863021124948,196,0.33163265306122447,0.03571428571428571,0.6326530612244898,1.5345336625982797
27,1.5,4.0,115,0.23185914629870227,190,0.37894736842105264,0.005263157894736842,0.6157894736842106,1.9483017301836176
7,1.5,5.0,119,0.25020372481767533,198,0.30303030303030304,0.025252525252525252,0.6717171717171717,1.7119443981947937
17,1.5,5.0,118,0.24132531636677096,195,0.3128205128205128,0.035897435897435895,0.6512820512820513,1.5200369861643401
27,1.5,5.0,119,0.2520078317060434,197,0.29441624365482233,0.025380710659898477,0.6802030456852792,1.7319013547186835
7,1.5,6.0,114,0.26203061161301455,189,0.3439153439153439,0.026455026455026454,0.6296296296296297,1.427451040994147
17,1.5,6.0,117,0.26164167164523594,189,0.32275132275132273,0.026455026455026454,0.6507936507936508,1.4531914383859308
27,1.5,6.0,117,0.26793466551331224,191,0.29842931937172773,0.015706806282722512,0.6858638743455497,1.733361669162806
7,1.5,7.0,110,0.2955271153100025,165,0.3090909090909091,0.012121212121212121,0.6787878787878788,1.2991841104392792
17,1.5,7.0,118,0.24514013086333053,179,0.2905027932960894,0.0335195530726257,0.6759776536312849,1.3379110538334054
27,1.5,7.0,117,0.26628423812819757,183,0.273224043715847,0.01639344262295082,0.7103825136612022,1.6563886018506284
7,2.0,3.0,118,0.21024658871953492,187,0.32620320855614976,0.016042780748663103,0.6577540106951871,1.943412753589294
17,2.0,3.0,116,0.22869897758000188,183,0.34972677595628415,0.0,0.6502732240437158,2.0279052205675474
27,2.0,3.0,119,0.21260488906857677,193,0.3160621761658031,0.031088082901554404,0.6528497409326425,1.766669273020625
7,2.0,4.0,119,0.18989742261538414,194,0.3247422680412371,0.015463917525773196,0.6597938144329897,2.3248136669809782
17,2.0,4.0,116,0.23765578420857533,187,0.32085561497326204,0.0213903743315508,0.6577540106951871,1.688395687891102
27,2.0,4.0,119,0.2137078185029955,191,0.32460732984293195,0.02617801047120419,0.6492146596858639,1.7905416486734516
7,2.0,5.0,116,0.23452580830644346,193,0.36787564766839376,0.025906735751295335,0.6062176165803109,1.5489794709966316
17,2.0,5.0,116,0.23264112645940552,187,0.32085561497326204,0.03208556149732621,0.6470588235294118,1.5219172607440297
27,2.0,5.0,113,0.2299482169877394,182,0.34615384615384615,0.02197802197802198,0.6318681318681318,1.6358136740019051
7,2.0,6.0,119,0.18207511546193786,192,0.3177083333333333,0.026041666666666668,0.65625,2.127538701358899
17,2.0,6.0,116,0.2301233498024252,185,0.2918918918918919,0.016216216216216217,0.6918918918918919,1.9154061787474193
27,2.0,6.0,119,0.22587267904795652,189,0.31216931216931215,0.031746031746031744,0.656084656084656,1.5924560168270339
7,2.0,7.0,119,0.21453494937650544,178,0.30337078651685395,0.011235955056179775,0.6853932584269663,1.8645959618285706
