seed,absolute_min_distance,target_gap_to_black,final_step,final_cv_nnd,pigment_count,yellow_fraction,red_fraction,black_fraction,order_score
7,1.5,3.0,119,0.23065106141049177,195,0.3230769230769231,0.035897435897435895,0.6410256410256411,1.5277984315829074
17,1.5,3.0,119,0.2311821044411116,192,0.328125,0.041666666666666664,0.6302083333333334,1.3831338058919453
27,1.5,3.0,119,0.2447543159700274,193,0.3316062176165803,0.03626943005181347,0.6321243523316062,1.398222272040103
7,1.5,4.0,119,0.2158601510672638,197,0.3096446700507614,0.025380710659898477,0.6649746192893401,1.936318775125265
17,1.5,4.0,119,0.23795043574149222,198,0.3333333333333333,0.03535353535353535,0.6313131313131313,1.5218422230873352
27,1.5,4.0,119,0.24156243536951816,202,0.3069306930693069,0.034653465346534656,0.6584158415841584,1.6586411854317447
7,1.5,5.0,119,0.22931751016983754,197,0.3147208121827411,0.030456852791878174,0.6548223350253807,1.7003910877884416
17,1.5,5.0,119,0.2517095538447965,198,0.30303030303030304,0.06060606060606061,0.6363636363636364,1.1395913863414995
27,1.5,5.0,119,0.23694946304536357,200,0.3,0.03,0.67,1.7771321032051572
7,1.5,6.0,119,0.2512937055248585,191,0.28272251308900526,0.031413612565445025,0.6858638743455497,1.534253923985877
17,1.5,6.0,119,0.23358971114831398,197,0.2893401015228426,0.03553299492385787,0.6751269035532995,1.6752190015525654
27,1.5,6.0,119,0.253055541616575,196,0.2857142857142857,0.03571428571428571,0.6785714285714286,1.5403105054232782
7,1.5,7.0,119,0.2561962055182622,186,0.3010752688172043,0.026881720430107527,0.6720430107526881,1.4457580036464432
17,1.5,7.0,119,0.26604166327999357,188,0.31382978723404253,0.026595744680851064,0.6595744680851063,1.4132604731831724
27,1.5,7.0,119,0.25963061942060234,186,0.3118279569892473,0.026881720430107527,0.6612903225806451,1.4177300624877076
7,2.0,3.0,119,0.208692929728122,191,0.3193717277486911,0.02617801047120419,0.6544502617801047,1.8268953910567864
17,2.0,3.0,119,0.20756174635606384,189,0.32275132275132273,0.026455026455026454,0.6507936507936508,1.8021539884551458
27,2.0,3.0,119,0.22011802408682787,187,0.3048128342245989,0.0374331550802139,0.6577540106951871,1.5169711352302975
7,2.0,4.0,119,0.21632215747177128,195,0.30256410256410254,0.046153846153846156,0.6512820512820513,1.5068279098611175
17,2.0,4.0,119,0.2227969472330532,194,0.30412371134020616,0.03608247422680412,0.6597938144329897,1.6443445000187626
27,2.0,4.0,119,0.21332753269443455,197,0.3299492385786802,0.025380710659898477,0.6446700507614214,1.9055208831717483
7,2.0,5.0,119,0.2268779245814771,199,0.3065326633165829,0.03015075376884422,0.6633165829145728,1.788281174488381
17,2.0,5.0,119,0.23641800775025665,195,0.2923076923076923,0.035897435897435895,0.6717948717948717,1.6061390956483494
27,2.0,5.0,119,0.23664916736943795,194,0.31958762886597936,0.020618556701030927,0.6597938144329897,1.799691774079218
7,2.0,6.0,119,0.22965971195418022,190,0.3,0.042105263157894736,0.6578947368421053,1.4173972155163788
17,2.0,6.0,119,0.22571460489209016,187,0.3155080213903743,0.0213903743315508,0.6631016042780749,1.7440031051783045
27,2.0,6.0,119,0.23868886307184023,190,0.30526315789473685,0.03684210526315789,0.6578947368421053,1.4558911463264823
7,2.0,7.0,119,0.23161286664681172,179,0.26256983240223464,0.0446927374301676,0.6927374301675978,1.2764778105199674
17,2.0,7.0,119,0.22563730452892022,175,0.24571428571428572,0.04,0.7142857142857143,1.2846818715875041
27,2.0,7.0,119,0.23535859360514916,182,0.2857142857142857,0.03296703296703297,0.6813186813186813,1.4613348710469007
7,2.5,3.0,119,0.19502051782204402,188,0.35106382978723405,0.031914893617021274,0.6170212765957447,1.6523279632460577
17,2.5,3.0,119,0.18438172229892716,183,0.32786885245901637,0.03278688524590164,0.639344262295082,1.7369392137981605
27,2.5,3.0,119,0.18088434333303482,180,0.3333333333333333,0.022222222222222223,0.6444444444444445,1.911000789605299
7,2.5,4.0,119,0.18554750765409017,192,0.3385416666666667,0.026041666666666668,0.6354166666666666,1.9996646707519528
17,2.5,4.0,119,0.20089999561745156,192,0.3229166666666667,0.057291666666666664,0.6197916666666666,1.3387759174774958
27,2.5,4.0,119,0.17721972272504152,190,0.3157894736842105,0.03684210526315789,0.6473684210526316,1.9193710159101829
7,2.5,5.0,119,0.19312342934074542,189,0.31216931216931215,0.031746031746031744,0.656084656084656,1.8354427564673195
17,2.5,5.0,119,0.20112783276436613,190,0.3105263157894737,0.05789473684210526,0.631578947368421,1.3340144002628942
27,2.5,5.0,119,0.20007454440607234,187,0.32085561497326204,0.0374331550802139,0.6417112299465241,1.615104574058323
7,2.5,6.0,119,0.19399600927883692,186,0.3118279569892473,0.03763440860215054,0.6505376344086021,1.6483606213832716
17,2.5,6.0,119,0.19407897725321852,184,0.32065217391304346,0.03804347826086957,0.6413043478260869,1.5942244753464168
27,2.5,6.0,119,0.19393491370623672,183,0.3114754098360656,0.02185792349726776,0.6666666666666666,1.942777946797692
7,2.5,7.0,119,0.19934452304605327,173,0.2832369942196532,0.03468208092485549,0.6820809248554913,1.4842705407401644
17,2.5,7.0,119,0.21321601022166733,180,0.29444444444444445,0.05,0.6555555555555556,1.2665285413905618
27,2.5,7.0,119,0.19445168081723338,178,0.3258426966292135,0.02247191011235955,0.651685393258427,1.7540858937545876
7,3.0,3.0,119,0.1628192116079318,177,0.327683615819209,0.05649717514124294,0.615819209039548,1.3580977171276023
17,3.0,3.0,119,0.16597219955087178,180,0.32222222222222224,0.027777777777777776,0.65,1.994094145217491
27,3.0,3.0,119,0.16787175856727518,181,0.32044198895027626,0.049723756906077346,0.6298342541436464,1.5510022066777496
