model,N,mean_NND,std_NND,CV_NND
self_organized,191,4.43900631445377,0.7683748523609801,0.1730961386242942
random_development,822,2.2656693384890376,0.484052941517714,0.21364677241044916
random_mask,191,3.0655106882087817,1.640593144537776,0.5351777603802325
